Loss: 104.7436, Primary Loss: 104.7082, Reg Loss: 0.0354
Loss: 130.9344, Primary Loss: 130.8956, Reg Loss: 0.0389
Loss: 95.2138, Primary Loss: 95.1711, Reg Loss: 0.0427
Loss: 92.5170, Primary Loss: 92.4796, Reg Loss: 0.0374
Loss: 117.9380, Primary Loss: 117.9045, Reg Loss: 0.0335
Loss: 114.3293, Primary Loss: 114.2945, Reg Loss: 0.0348
Loss: 126.5342, Primary Loss: 126.4917, Reg Loss: 0.0424
Loss: 93.3030, Primary Loss: 93.2689, Reg Loss: 0.0341
Loss: 99.1281, Primary Loss: 99.0964, Reg Loss: 0.0317
Loss: 109.8802, Primary Loss: 109.8412, Reg Loss: 0.0390
Loss: 94.3151, Primary Loss: 94.2785, Reg Loss: 0.0367
Loss: 112.9283, Primary Loss: 112.8903, Reg Loss: 0.0380
Loss: 131.6302, Primary Loss: 131.5864, Reg Loss: 0.0439
Loss: 110.4075, Primary Loss: 110.3700, Reg Loss: 0.0375
Loss: 116.5750, Primary Loss: 116.5385, Reg Loss: 0.0365
Loss: 112.8784, Primary Loss: 112.8364, Reg Loss: 0.0420
